,precision,recall,f1
0,0.80479395,0.80698586,0.8058884
1,0.79331744,0.8003498,0.7968181
2,0.7969532,0.80851585,0.8026929
3,0.8004831,0.81047034,0.8054458
4,0.814069,0.8119182,0.81299216
5,0.8166186,0.8142095,0.8154123
6,0.8221779,0.8154652,0.81880784
7,0.8183628,0.81597936,0.81716925
8,0.8092722,0.80615157,0.8077089
9,0.80378824,0.80137104,0.8025778
10,0.81003577,0.8150718,0.812546
11,0.8156394,0.81898844,0.81731045
12,0.7988366,0.80477685,0.8017958
13,0.80954057,0.8078233,0.80868095
14,0.81350625,0.8115441,0.812524
15,0.8028052,0.802379,0.80259204
16,0.80027866,0.8119496,0.8060719
17,0.81962234,0.8151516,0.81738085
18,0.81336355,0.8053004,0.80931187
19,0.80633557,0.8168268,0.8115473
20,0.7975211,0.8052057,0.80134493
21,0.8203828,0.81747884,0.8189282
22,0.8112642,0.81320786,0.8122348
23,0.8221779,0.8154652,0.81880784
24,0.8065376,0.8124683,0.8094921
25,0.81876326,0.8179102,0.8183365
26,0.8049778,0.8045641,0.80477095
27,0.8140681,0.82136726,0.8177014
28,0.8043176,0.80251396,0.80341476
29,0.8073708,0.8053475,0.8063578
30,0.803367,0.8063723,0.80486685
31,0.80607814,0.81026834,0.8081678
32,0.80974734,0.813115,0.81142765
33,0.801234,0.8149682,0.80804276
34,0.8194239,0.8170802,0.81825036
35,0.80974734,0.813115,0.81142765
36,0.8062315,0.80497074,0.80560064
37,0.80934894,0.81177884,0.810562
38,0.812673,0.8079191,0.810289
